Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Kimden,Orjinal,Lokal boyalı,Boyalı,Değişmiş,Belirtilmemiş,Üretim Yılı (İlk/Son),Sınıfı,Ortalama Kasko,Ortalama Trafik Sigortası,Silindir Sayısı,Tork,Maksimum Güç,Minimum Güç,Hızlanma (0-100),Maksimum Hız,Ortalama Yakıt Tüketimi,Şehir İçi Yakıt Tüketimi,Şehir Dışı Yakıt Tüketimi,Uzunluk,Genişlik,Yükseklik,Ağırlık,Boş Ağırlığı,Koltuk Sayısı,Bagaj Hacmi,Ön Lastik,Aks Aralığı
2.290.000TL,07 Şubat 2026,Hyundai,Tucson,1.6 CRDi Elite Plus,2022,91.000 km,Yarı Otomatik,Dizel,SUV,Gri,1598 cc,136 hp,4WD (Sürekli),"6,3 lt",54 lt,2 boyalı,Sahibinden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Arka Kaput Sağ Arka Kapı,-,-,2021 - 2024,I Segment,15.556TL,11.689TL,4.0,320 nm,4000 rpm,2000 rpm,"11,6 sn",180 km/s,"6,3 lt","6,8 lt","5,5 lt",4500 mm,1865 mm,1650 mm,2244 kg,1635 kg,5.0,598 lt,235/50 R19,2680.0
1.740.000TL,07 Şubat 2026,Hyundai,Tucson,1.6 CRDi Elite,2019,98.000 km,Yarı Otomatik,Dizel,SUV,Şampanya,1598 cc,136 hp,Önden Çekiş,"4,8 lt",62 lt,"1 değişen, 1 boyalı",Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,-,Sağ Ön Kapı,Sol Ön Çamurluk,-,2018 - 2021,I Segment,17.340TL,11.450TL,4.0,320 nm,4000 rpm,2000 rpm,"11,8 sn",180 km/s,"4,8 lt","4,9 lt","4,7 lt",4480 mm,1850 mm,1660 mm,2108 kg,1582 kg,5.0,513 lt,245/45 R19,2670.0
1.400.000TL,07 Şubat 2026,Hyundai,Tucson,1.6 T-GDi Elite Plus,2015,133.000 km,Düz,Benzin,SUV,Gri (Gümüş),1591 cc,177 hp,Önden Çekiş,"7,3 lt",62 lt,Belirtilmemiş,Sahibinden,-,-,-,-,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2015 - 2016,I Segment,20.481TL,14.972TL,4.0,265 nm,5500 rpm,4500 rpm,"9,2 sn",205 km/s,"7,3 lt","9,8 lt","5,8 lt",4475 mm,1850 mm,1660 mm,2050 kg,1524 kg,5.0,488 lt,245/45 R19,2670.0
1.595.000TL,07 Şubat 2026,Hyundai,Tucson,1.6 T-GDi Elite Plus,2015,80.000 km,Yarı Otomatik,Benzin,SUV,Beyaz,1591 cc,177 hp,4WD (Sürekli),"7,5 lt",62 lt,"1 değişen, 1 boyalı",Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Ön Çamurluk,Motor Kaputu,-,2015 - 2018,I Segment,20.481TL,11.275TL,4.0,265 nm,5500 rpm,4500 rpm,"9,1 sn",201 km/s,"7,5 lt","9,2 lt","6,5 lt",4475 mm,1850 mm,1660 mm,2135 kg,1609 kg,5.0,488 lt,245/45 R19,2670.0
1.230.000TL,07 Şubat 2026,Hyundai,ix35,1.6 GDI Elite,2014,92.000 km,Otomatik,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",55 lt,3 boyalı,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Motor Kaputu Ön Tampon Arka Tampon,-,Sol Ön Kapı Sağ Ön Çamurluk Sol Ön Çamurluk,-,-,2013 - 2015,I Segment,13.470TL,11.050TL,4.0,165 nm,6300 rpm,4850 rpm,"11,1 sn",160 km/s,"8,8 lt","11,6 lt","7,2 lt",4410 mm,1820 mm,1670 mm,2069 kg,1519 kg,5.0,591 lt,225/60 R17,2640.0
828.750TL,07 Şubat 2026,Hyundai,ix35,1.6 GDI Style Plus,2013,281.000 km,Düz,LPG & Benzin,SUV,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,1 lokal boyalı,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Ön Kapı,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.865.000TL,07 Şubat 2026,Hyundai,Tucson,1.6 CRDi Elite,2020,153.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,AWD (Elektronik),,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.880.000TL,07 Şubat 2026,Hyundai,Tucson,1.6 T-GDi Prime Plus,2023,53.000 km,Otomatik,Benzin,SUV,Mavi,1401 - 1600 cm3,176 - 200 HP,Önden Çekiş,,,"1 değişen, 1 lokal boyalı",Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Ön Kapı,-,Sağ Ön Çamurluk,-,,,,,,,,,,,,,,,,,,,,,,
1.649.750TL,07 Şubat 2026,Hyundai,Tucson,1.6 T-GDi Elite,2017,139.000 km,Otomatik,Benzin,SUV,Bej,1401 - 1600 cm3,176 - 200 HP,AWD (Elektronik),,,1 değişen,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,Sağ Ön Çamurluk,-,,,,,,,,,,,,,,,,,,,,,,
565.000TL,06 Şubat 2026,Hyundai,Tucson,2.0 CRDi Dynamic,2005,365.000 km,Otomatik,Dizel,Crossover,Siyah,1991 cc,113 hp,Önden Çekiş,,58 lt,"1 değişen, 2 boyalı",Sahibinden,Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Arka Çamurluk Sol Arka Çamurluk,Arka Kaput,-,2004 - 2006,I Segment,,,4.0,245 nm,4000 rpm,2000 rpm,,,,,,4325 mm,1795 mm,1680 mm,2120 kg,1541 kg,5.0,325 lt,235/60 R16,2630.0
2.050.000TL,06 Şubat 2026,Hyundai,Tucson,1.6 CRDi Elite,2021,91.400 km,Yarı Otomatik,Dizel,SUV,Diğer,1598 cc,136 hp,Önden Çekiş,"5,7 lt",54 lt,1 değişen,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,Sol Arka Çamurluk,-,2021 - 2024,I Segment,16.541TL,11.689TL,4.0,320 nm,4000 rpm,2000 rpm,"11,4 sn",180 km/s,"5,7 lt","5,8 lt","5,1 lt",4500 mm,1865 mm,1650 mm,2185 kg,1576 kg,5.0,598 lt,235/50 R19,2680.0
1.910.000TL,06 Şubat 2026,Hyundai,Tucson,1.6 CRDi Prime,2022,97.000 km,Yarı Otomatik,Dizel,SUV,Bordo,1598 cc,136 hp,Önden Çekiş,"5,7 lt",54 lt,Belirtilmemiş,Sahibinden,-,-,-,-,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2021 - 2024,I Segment,18.370TL,11.689TL,4.0,320 nm,4000 rpm,2000 rpm,"11,4 sn",180 km/s,"5,7 lt","5,8 lt","5,1 lt",4500 mm,1865 mm,1650 mm,2185 kg,1576 kg,5.0,598 lt,235/55 R18,2680.0
985.000TL,06 Şubat 2026,Hyundai,ix35,1.6 GDI Style Plus,2013,146.680 km,Düz,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",55 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2011 - 2013,I Segment,15.191TL,10.680TL,4.0,165 nm,6300 rpm,4850 rpm,"11,1 sn",160 km/s,"6,8 lt","8,2 lt",6 lt,4410 mm,1820 mm,1670 mm,1947 kg,1397 kg,5.0,591 lt,225/60 R17,2640.0
1.545.000TL,06 Şubat 2026,Hyundai,Bayon,1.0 T-GDI Elite,2025,37.000 km,Yarı Otomatik,Benzin,SUV,Beyaz,998 cc,100 hp,Önden Çekiş,"5,8 lt",40 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,B Segment,12.704TL,18.817TL,3.0,172 nm,6000 rpm,1500 rpm,"12,4 sn",176 km/s,"5,8 lt",,,4180 mm,1775 mm,1500 mm,,1195 kg,5.0,411 lt,205/55 R17,2580.0
2.800.000TL,06 Şubat 2026,Hyundai,Tucson,1.6 CRDi Elite Plus,2024,14.900 km,Yarı Otomatik,Dizel,SUV,Beyaz,1598 cc,136 hp,4WD (Sürekli),"6,3 lt",54 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2021 - 2024,I Segment,15.556TL,11.689TL,4.0,320 nm,4000 rpm,2000 rpm,"11,6 sn",180 km/s,"6,3 lt","6,8 lt","5,5 lt",4500 mm,1865 mm,1650 mm,2244 kg,1635 kg,5.0,598 lt,235/50 R19,2680.0
970.000TL,06 Şubat 2026,Hyundai,ix35,1.6 GDI Elite,2013,259.000 km,Otomatik,LPG & Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",55 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2013 - 2015,I Segment,13.470TL,11.050TL,4.0,165 nm,6300 rpm,4850 rpm,"11,1 sn",160 km/s,"8,8 lt","11,6 lt","7,2 lt",4410 mm,1820 mm,1670 mm,2069 kg,1519 kg,5.0,591 lt,225/60 R17,2640.0
1.600.000TL,06 Şubat 2026,Hyundai,Tucson,1.6 CRDi N Line,2020,119.000 km,Yarı Otomatik,Dizel,SUV,Kırmızı,1598 cc,136 hp,Önden Çekiş,"4,8 lt",62 lt,"1 değişen, 5 boyalı",Sahibinden,Sağ Arka Çamurluk Arka Kaput Tavan Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Arka Çamurluk Sağ Ön Kapı Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk,Sağ Arka Kapı,-,2020 - 2021,I Segment,19.205TL,11.668TL,4.0,320 nm,4000 rpm,2000 rpm,"11,8 sn",180 km/s,"4,8 lt","4,9 lt","4,7 lt",4480 mm,1850 mm,1660 mm,2108 kg,1582 kg,5.0,513 lt,225/55 R18,2670.0
1.850.000TL,06 Şubat 2026,Hyundai,Tucson,1.6 CRDi Elite,2020,150.000 km,Yarı Otomatik,Dizel,SUV,Füme,1598 cc,136 hp,4WD (Sürekli),"5,1 lt",62 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2018 - 2021,I Segment,17.340TL,11.450TL,4.0,320 nm,4000 rpm,2000 rpm,"11,8 sn",180 km/s,"5,1 lt","5,1 lt","5,2 lt",4480 mm,1850 mm,1660 mm,2202 kg,1676 kg,5.0,513 lt,245/45 R19,2670.0
1.650.000TL,06 Şubat 2026,Hyundai,Bayon,1.0 T-GDI Elite,2025,6.001 km,Yarı Otomatik,Benzin,SUV,Beyaz,998 cc,100 hp,Önden Çekiş,"5,8 lt",40 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,B Segment,12.704TL,18.817TL,3.0,172 nm,6000 rpm,1500 rpm,"12,4 sn",176 km/s,"5,8 lt",,,4180 mm,1775 mm,1500 mm,,1195 kg,5.0,411 lt,205/55 R17,2580.0
1.070.000TL,06 Şubat 2026,Hyundai,ix35,2.0 R Style Plus,2011,160.000 km,Otomatik,Dizel,SUV,Siyah,1995 cc,184 hp,4WD (Sürekli),"7,2 lt",58 lt,"1 boyalı, 2 lokal boyalı",Galeriden,Arka Kaput Sol Arka Çamurluk Sağ Ön Kapı Tavan Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Arka Çamurluk Sol Arka Kapı,Sağ Arka Kapı,-,-,2010 - 2012,I Segment,11.708TL,10.680TL,4.0,400 nm,4000 rpm,2500 rpm,"10,1 sn",195 km/s,"7,2 lt","9,1 lt","6,1 lt",4410 mm,1820 mm,1670 mm,2140 kg,1576 kg,5.0,591 lt,225/55 R18,2640.0
1.550.000TL,06 Şubat 2026,Hyundai,Bayon,1.0 T-GDI Style,2025,28.100 km,Otomatik,Benzin,SUV,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.700.000TL,06 Şubat 2026,Hyundai,Tucson,1.6 CRDi Elite,2020,164.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,AWD (Elektronik),,,"1 boyalı, 1 lokal boyalı",Galeriden,Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sağ Arka Çamurluk,Arka Kaput,-,-,,,,,,,,,,,,,,,,,,,,,,
1.580.000TL,05 Şubat 2026,Hyundai,Kona,1.6 CRDI Elite Smart,2020,47.000 km,Yarı Otomatik,Dizel,SUV,Kırmızı,1598 cc,136 hp,Önden Çekiş,"4,4 lt",50 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2019 - 2021,B Segment,16.069TL,12.837TL,4.0,320 nm,4000 rpm,1750 rpm,"9,8 sn",191 km/s,"4,4 lt","4,7 lt","4,2 lt",4165 mm,1800 mm,1565 mm,1880 kg,1417 kg,5.0,361 lt,235/45 R18,2600.0
1.060.000TL,05 Şubat 2026,Hyundai,ix35,1.6 GDI Style Plus,2013,168.000 km,Düz,LPG & Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",55 lt,2 lokal boyalı,Sahibinden,-,Sağ Arka Çamurluk Arka Kaput,-,-,Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2011 - 2013,I Segment,15.191TL,10.680TL,4.0,165 nm,6300 rpm,4850 rpm,"11,1 sn",160 km/s,"6,8 lt","8,2 lt",6 lt,4410 mm,1820 mm,1670 mm,1947 kg,1397 kg,5.0,591 lt,225/60 R17,2640.0
850.000TL,05 Şubat 2026,Hyundai,ix35,1.6 GDI Style Plus,2012,156.000 km,Düz,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",55 lt,2 değişen,Sahibinden,-,-,-,Sağ Arka Kapı Sağ Ön Kapı,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2010 - 2012,I Segment,15.191TL,10.680TL,4.0,165 nm,6300 rpm,4850 rpm,"11,1 sn",160 km/s,"6,8 lt","8,2 lt",6 lt,4410 mm,1820 mm,1670 mm,1947 kg,1397 kg,5.0,591 lt,225/60 R17,2640.0
2.420.000TL,05 Şubat 2026,Hyundai,Tucson,1.6 T-GDi Prime Plus,2025,9.000 km,Otomatik,Benzin,SUV,Beyaz,,,Önden Çekiş,,,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.750.000TL,05 Şubat 2026,Hyundai,Tucson,1.6 CRDi Elite,2020,110.000 km,Yarı Otomatik,Dizel,SUV,Lacivert,1598 cc,136 hp,Önden Çekiş,"4,8 lt",62 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2018 - 2021,I Segment,17.340TL,11.450TL,4.0,320 nm,4000 rpm,2000 rpm,"11,8 sn",180 km/s,"4,8 lt","4,9 lt","4,7 lt",4480 mm,1850 mm,1660 mm,2108 kg,1582 kg,5.0,513 lt,245/45 R19,2670.0
1.180.000TL,05 Şubat 2026,Hyundai,ix35,1.6 GDI Elite,2013,170.000 km,Düz,Benzin,SUV,Gri,1591 cc,135 hp,Önden Çekiş,"6,8 lt",55 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2012 - 2015,I Segment,13.470TL,11.050TL,4.0,165 nm,6300 rpm,4850 rpm,"11,1 sn",160 km/s,"6,8 lt","8,2 lt",6 lt,4410 mm,1820 mm,1670 mm,1947 kg,1397 kg,5.0,591 lt,225/60 R17,2640.0
1.705.000TL,05 Şubat 2026,Hyundai,Tucson,1.6 CRDi Smart,2020,76.000 km,Yarı Otomatik,Dizel,SUV,Kahverengi,1598 cc,136 hp,Önden Çekiş,"4,8 lt",62 lt,1 boyalı,Sahibinden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Arka Kaput,-,-,2020 - 2021,I Segment,19.205TL,11.668TL,4.0,320 nm,4000 rpm,2000 rpm,"11,8 sn",180 km/s,"4,8 lt","4,9 lt","4,7 lt",4480 mm,1850 mm,1660 mm,2108 kg,1582 kg,5.0,513 lt,225/55 R18,2670.0
1.045.000TL,05 Şubat 2026,Hyundai,Bayon,1.4 MPI Jump,2021,45.000 km,Düz,Benzin,SUV,Lacivert,1368 cc,100 hp,Önden Çekiş,"6,4 lt",40 lt,"1 değişen, 1 boyalı, 1 lokal boyalı",Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Arka Tampon,Sağ Arka Kapı,Sağ Ön Kapı,Ön Tampon,-,2021 - 2024,B Segment,11.984TL,11.994TL,4.0,134 nm,6000 rpm,3500 rpm,"12,6 sn",176 km/s,"6,4 lt","8,5 lt","6,5 lt",4180 mm,1775 mm,1500 mm,,1132 kg,5.0,411 lt,195/55 R16,2580.0
1.445.000TL,05 Şubat 2026,Hyundai,Tucson,1.6 T-GDi Elite Plus,2018,188.000 km,Yarı Otomatik,Benzin,SUV,Gri,1591 cc,177 hp,4WD (Sürekli),"7,5 lt",62 lt,"5 boyalı, 1 lokal boyalı",Sahibinden,Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Ön Çamurluk Arka Tampon,Motor Kaputu,Sağ Arka Çamurluk Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Ön Tampon,-,-,2015 - 2018,I Segment,20.481TL,14.972TL,4.0,265 nm,5500 rpm,4500 rpm,"9,1 sn",201 km/s,"7,5 lt","9,2 lt","6,5 lt",4475 mm,1850 mm,1660 mm,2135 kg,1609 kg,5.0,488 lt,245/45 R19,2670.0
2.000.000TL,05 Şubat 2026,Hyundai,Tucson,1.6 CRDi Elite,2020,610.000 km,Yarı Otomatik,Dizel,SUV,Beyaz,1598 cc,136 hp,Önden Çekiş,"4,8 lt",62 lt,Belirtilmemiş,Sahibinden,-,-,-,-,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2018 - 2021,I Segment,17.340TL,11.450TL,4.0,320 nm,4000 rpm,2000 rpm,"11,8 sn",180 km/s,"4,8 lt","4,9 lt","4,7 lt",4480 mm,1850 mm,1660 mm,2108 kg,1582 kg,5.0,513 lt,245/45 R19,2670.0
1.320.000TL,05 Şubat 2026,Hyundai,Tucson,1.6 GDi Style,2017,135.000 km,Düz,Benzin,SUV,Gri (titanyum),1591 cc,132 hp,Önden Çekiş,"6,7 lt",62 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2015 - 2018,I Segment,16.927TL,14.972TL,4.0,160 nm,6300 rpm,4850 rpm,"11,5 sn",182 km/s,"6,7 lt","8,6 lt","5,6 lt",4475 mm,1850 mm,1660 mm,1980 kg,1454 kg,5.0,488 lt,225/60 R17,2670.0
1.390.000TL,05 Şubat 2026,Hyundai,Tucson,1.6 T-GDi Elite,2015,168.500 km,Düz,LPG & Benzin,SUV,Bej,1591 cc,177 hp,Önden Çekiş,"7,3 lt",62 lt,1 lokal boyalı,Sahibinden,-,Sol Arka Çamurluk,-,-,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2015 - 2017,I Segment,20.481TL,14.972TL,4.0,265 nm,5500 rpm,4500 rpm,"9,2 sn",205 km/s,"7,3 lt","9,8 lt","5,8 lt",4475 mm,1850 mm,1660 mm,2050 kg,1524 kg,5.0,488 lt,245/45 R19,2670.0
1.035.000TL,05 Şubat 2026,Hyundai,ix35,1.6 GDI Elite,2013,173.000 km,Otomatik,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",55 lt,"1 değişen, 6 boyalı",Sahibinden,-,-,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sol Arka Kapı Sağ Ön Çamurluk Sol Ön Çamurluk,Sol Ön Kapı,Sol Arka Çamurluk Sağ Ön Kapı Tavan Motor Kaputu Ön Tampon Arka Tampon,2013 - 2015,I Segment,13.470TL,11.050TL,4.0,165 nm,6300 rpm,4850 rpm,"11,1 sn",160 km/s,"8,8 lt","11,6 lt","7,2 lt",4410 mm,1820 mm,1670 mm,2069 kg,1519 kg,5.0,591 lt,225/60 R17,2640.0
815.000TL,05 Şubat 2026,Hyundai,Tucson,2.0 CRDi,2009,190.000 km,Düz,Dizel,SUV,Siyah,1991 cc,112 hp,Önden Çekiş,"7,1 lt",58 lt,1 lokal boyalı,Sahibinden,-,Sağ Arka Çamurluk,-,-,Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2005 - 2009,I Segment,,12.036TL,4.0,245 nm,4000 rpm,1800 rpm,"13,8 sn",168 km/s,"7,1 lt","9,2 lt","5,9 lt",4325 mm,1830 mm,1730 mm,,1685 kg,5.0,325 lt,235/60 R16,2630.0
865.000TL,05 Şubat 2026,Hyundai,ix35,1.6 GDI Style Plus,2011,232.000 km,Düz,LPG & Benzin,SUV,Siyah,1591 cc,135 hp,Önden Çekiş,"6,8 lt",55 lt,1 lokal boyalı,Sahibinden,-,Sağ Ön Kapı,-,-,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2010 - 2012,I Segment,15.191TL,10.680TL,4.0,165 nm,6300 rpm,4850 rpm,"11,1 sn",160 km/s,"6,8 lt","8,2 lt",6 lt,4410 mm,1820 mm,1670 mm,1947 kg,1397 kg,5.0,591 lt,225/60 R17,2640.0
